pt,en
é interessante verificar como é cada vez mais frequente que as verdades surjam nos programas de humor e a propaganda nos programas jornalísticos,it is interesting to see how it is more and more frequent that truths appear in humor programs and advertising in journalistic programs
"sim, eu sei que já foram publicados trabalhos jornalísticos sobre o lado negro da fifa","yes, i know that journalistic works about the dark side of fifa have already been published"
o problema é que são infinitamente minoritários,the problem is that they are infinitely minority
o que torna a informação sobre a fifa imensamente divertida é a colagem que oliver fez e que os media em geral não fazem,what makes fifa information immensely fun is the collage oliver made that the media in general don't
disponibilidade da informação que a web permite,availability of information that the web allows
"este despique entre teóricos e práticos foi moeda corrente em outras épocas, sendo que, no caso da prática desportiva, encontra raízes milenares na grécia antiga","this clash between theorists and practitioners was commonplace in other times, and, in the case of sports, it has millenary roots in ancient greece"
"segundo galeno (célebre médico grego, tido como pai da medicina desportiva moderna), os treinadores troçavam das teorias dos professores de ginástica e dos médicos sob o pretexto de não se ter o direito de discutir sobre coisas desconhecidas, quando se não tem a prática do ofício","According to Galeno (a famous Greek doctor, considered the father of modern sports medicine), the coaches made fun of the theories of gym teachers and doctors under the pretext of not having the right to discuss unknown things, when one does not have the practice of craft"
"segundo galeno (célebre médico grego, tido como pai da medicina desportiva moderna), os treinadores troçavam das teorias dos professores de ginástica e dos médicos","According to Galeno (a famous Greek doctor, considered the father of modern sports medicine), the coaches made fun of the theories of gym teachers and doctors"
"não se ter o direito de discutir sobre coisas desconhecidas, quando se não tem a prática do ofício","not having the right to discuss unknown things, when one does not have the practice of the craft"
"a minha classificação de teórico atribuída a carlos queirós, tendo, para além disso, provas práticas dadas como mero exemplo dois campeonatos mundiais de futebol sub-20, um modestíssimo jogador de futebol competitivo, encontra razão na sua formação e docência universitárias","my theoretical classification attributed to carlos queirós, having, in addition, practical evidence given as a mere example two world championships of under-20 football, a very modest competitive football player, finds reason in his university education and teaching"
licenciatura e mestrado em metodologia do treino pelo isef da universidade técnica de lisboa,degree and master's degree in training methodology from the isef of the technical university of lisbon
posterior docência em que teve como aluno josé mourinho,later teaching in which he had as a student josé mourinho
"depois do regresso da equipa de todos nós a fronteiras nacionais, assistiu-se a uma despudorada tentativa de intoxicação da opinião pública contra carlos queirós","after the team of all of us returned to national borders, there was a shameless attempt to intoxicate public opinion against carlos queirós"
"os resultados obtidos por portugal na áfrica do sul, manipulados pelos seus detractores como se tivessem sido péssimos, pretenderam deixar a imagem de um verdadeiro soçobrar das selecção das quinas","the results obtained by portugal in south africa, manipulated by its detractors as if they had been terrible, intended to leave the image of a real collapse of the selection of corners"
"o futebol moderno exige, hoje, condições científicas inerentes à respectiva metodologia de treino e conhecimento profundo do funcionamento da “máquina humana”, questões que, por vezes, são mantidas na sombra do esquecimento","modern football today demands scientific conditions inherent to the respective training methodology and in-depth knowledge of the functioning of the “human machine”, issues that are sometimes kept in the shadow of oblivion."
conservando a sua componente de sorte inerente a toda e qualquer forma de jogo que o torna aliciante para as multidões,conserving its component of luck inherent to any form of game that makes it attractive to the crowds
"paulo bento tem a suportar o seu currículo de treinador o facto de ter sido um destacado jogador da selecção nacional de futebol (35 vezes internacional) conjugado com a habilitação de cursos de treinador de futebol, promovidos pela associação de treinadores de futebol e federação portuguesa de futebol (fpf)","paulo bento has to support his coaching curriculum the fact that he was an outstanding player of the national football team (35 times international) combined with the qualification of football coaching courses, promoted by the association of football coaches and the portuguese federation of football (fpf)"
"o futebol, e outros desportos em alguns países menos futebolísticos, parece ser um sucedâneo quer da lei da guerra quer das religiões","football, and other sports in some less footballing countries, seems to be a substitute for both the law of war and religions"
ele tem a competição como regra principal que serve para que haja campeões e equipas que o querem ser,he has competition as the main rule that serves to ensure that there are champions and teams that want to be
"ela tem a paixão clubística que se transmite em geral por parentesco e se vinca a ""heróis""","she has the club passion that is generally transmitted by kinship and is attached to ""heroes"""
as suas liturgias anuais,their annual liturgies
os seus campeonatos e outras taças entre clubes,their championships and other cups between clubs
"selecções nacionais, propícias a um certo patriotismo que vai faltando noutras dimensões cívicas e políticas","national teams, conducive to a certain patriotism that is lacking in other civic and political dimensions"
não há que barafustar contra o excesso da violência no futebol,there is no need to fight against the excess of violence in football
mais vale violência organizada e com regras,better organized violence with rules
bem sabemos como a falta de controle das competições financeiras têm consequências terríveis sobre todos nós,We know very well how the lack of control over financial competitions has terrible consequences for all of us.
"ela faz parte da competição, da paixão de ganhar","she's part of the competition, the passion to win"
não desejável,not desirable
"as ""grandes"" guerras do século xx parece difícil que volte a haver","the ""great"" wars of the 20th century it seems unlikely that they will ever happen again"
é ao nível económico – concorrência e competitividade – que ela hoje se trava,it is at the economic level – competition and competitiveness – that it is fought today
esta lei da guerra é uma espécie de deslocamento da lei da selva que opõe os animais carnívoros aos herbívoros e estes às plantas como condição de sobrevivência,this law of war is a kind of displacement of the law of the jungle that opposes carnivorous animals to herbivores and these to plants as a condition of survival
só se alimentando de vivos se conseguem as moléculas complexas à base de carbono de que são feitas as células,only by feeding on the living can you get the complex carbon-based molecules that cells are made of
só se alimentando de vivos se conseguem as moléculas complexas à base de carbono de que são feitas as células (as plantas recebem o carbono da fotossíntese),only by feeding on the living can you get the complex carbon-based molecules that cells are made of (plants receive carbon from photosynthesis)
ainda há guerras aqui e ali,there are still wars here and there
"da primeira, ele tem a competição como regra principal que serve para que haja campeões e equipas que o querem ser, mas com a vantagem de essas guerras serem organizadas com regras vigiadas por árbitros","from the first, he has competition as the main rule that serves to have champions and teams that want to be champions, but with the advantage that these wars are organized with rules supervised by referees."
"da segunda, ela tem a paixão clubística que se transmite em geral por parentesco e se vinca a ""heróis"", mas que é capaz de envolver vidas poucos interessantes e de lhes dar um ""sentido"" que de outra maneira poderia facilmente descambar em bebida ou droga","on the second, she has the club passion that is generally transmitted through kinship and is attached to ""heroes"", but which is capable of involving uninteresting lives and giving them a ""meaning"" that otherwise could easily turn into drink or damn it"
"tem por outro lado as suas liturgias anuais, os seus campeonatos e outras taças entre clubes, além das selecções nacionais, propícias a um certo patriotismo que vai faltando noutras dimensões cívicas e políticas","on the other hand, it has its annual liturgies, its championships and other cups between clubs, in addition to the national teams, conducive to a certain patriotism that is lacking in other civic and political dimensions"
só se alimentando de vivos se conseguem as moléculas complexas à base de carbono de que são feitas as células (as plantas recebem o carbono da fotossíntese) e justifica que as anatomias dos animais ganhem em músculos e astúcias quanto mais crescem as espécies,only by feeding on the living can you get the complex carbon-based molecules that cells are made of (plants receive carbon from photosynthesis) and justifies that animal anatomies gain in muscle and cunning the more species grow
hoje ainda há guerras aqui e ali,today there are still wars here and there
"é ao nível económico – concorrência e competitividade – que ela hoje se trava, os nobres guerreiros substituídos pelos burgueses capitalistas na dominação social","it is at the economic level – competition and competitiveness – that it is fought today, the noble warriors replaced by the capitalist bourgeois in social domination"
"da primeira, ele tem a competição como regra principal que serve para que haja campeões e equipas que o querem ser","from the first, he has competition as the main rule that serves to ensure that there are champions and teams that want to be champions."
com a vantagem de essas guerras serem organizadas com regras vigiadas por árbitros,with the advantage that these wars are organized with rules supervised by referees
"da segunda, ela tem a paixão clubística que se transmite em geral por parentesco e se vinca a ""heróis""","from the second, she has the club passion that is generally transmitted by kinship and is attached to ""heroes"""
"é capaz de envolver vidas poucos interessantes e de lhes dar um ""sentido"" que de outra maneira poderia facilmente descambar em bebida ou droga","is able to envelop uninteresting lives and give them a ""meaning"" that could otherwise easily turn into drink or drugs"
"se tiver razão, não há que barafustar contra o excesso da violência no futebol","if you're right, there's no need to fight against the excess of violence in football"
"não desejável, ela faz parte da competição, da paixão de ganhar","undesirable, it is part of the competition, the passion to win"
este foi um mundial incrível,this was an amazing world
vimos actuações individuais maravilhosas,we saw wonderful individual performances
grandes jogos,big games
grandes surpresas,big surprises
existem boas e legítimas razões que justificam a vitória do qatar contra os seus mais conhecidos rivais para sediar o mundial de futebol daqui a oito anos,there are good and legitimate reasons why qatar won against its best-known rivals to host the football world cup eight years from now
tudo o que possa ter ouvido ao longo das últimas semanas,everything you may have heard over the last few weeks
a nossa campanha foi vitoriosa,our campaign was successful
apresentámos argumentos convincentes,we presented convincing arguments
nós transformámos cada desafio a nosso favor,we turned every challenge in our favor
a nossa campanha foi vista como a melhor,our campaign was seen as the best
a história do futebol do qatar pode até ser mais recente do que a da europa ou a da américa do sul,the football history of qatar may even be more recent than that of europe or south america
"tanto no nosso país como no médio oriente, a paixão por esse desporto é igualmente forte","both in our country and in the Middle East, the passion for this sport is equally strong"
"vimos actuações individuais maravilhosas, grandes jogos e grandes surpresas","we saw wonderful individual performances, great games and great surprises"
também existem boas e legítimas razões que justificam a vitória do qatar contra os seus mais conhecidos rivais para sediar o mundial de futebol daqui a oito anos,there are also good and legitimate reasons why qatar won against its best-known rivals to host the football world cup eight years from now
temos tido dificuldades em ser ouvidos,we have had difficulty being heard
o qatar não tem uma tradição rica na história do futebol,qatar does not have a rich tradition in football history
somos um país pequeno,we are a small country
as nossas temperaturas no verão são elevadas,our summer temperatures are high
somente a nossa riqueza já é motivo de suspeita,only our wealth is cause for suspicion
injusto que seja,unfair as it is
"a nossa campanha foi vitoriosa, não porque ignorámos estas importantes questões, mas porque apresentámos argumentos convincentes","our campaign was successful, not because we ignored these important issues, but because we presented convincing arguments"
ganhámos,we won
os membros da fifa entenderam isso,the fifa members understood this
interessaram-se em levar o campeonato para uma região nova,interested in taking the championship to a new region
uma final nesse país implicaria longas viagens e custos significativos,a final in that country would entail long journeys and significant costs
mais de 2 mil milhões de fãs de futebol estão a apenas quatro horas de voo do aeroporto de doha,over 2 billion football fans are just a four hour flight from doha airport
"na opinião de alguns críticos, o intenso calor durante o verão no nosso país é a principal razão pela qual não deveríamos ter ganho a candidatura","in the opinion of some critics, the intense heat during the summer in our country is the main reason why we should not have won the candidacy"
provámos que as partidas de futebol poderiam ser jogadas e vistas em condições confortáveis,we proved that football matches could be played and watched in comfortable conditions
"para alguns, a ideia de ter estádios com ar condicionado pode parecer uma ideia fantasiosa","For some, the idea of ​​having air-conditioned stadiums may seem like a fanciful idea."
desde 2008 contamos com sistemas de refrigeração para eventos ao ar livre,since 2008 we have cooling systems for outdoor events
investimos mais dinheiro na nossa campanha se compararmos com outras candidaturas,we invest more money in our campaign compared to other candidates
somente com o objectivo de alcançar o nível dos nossos rivais mais conhecidos,only with the aim of reaching the level of our best known rivals
tivemos de dar a conhecer ao mundo o nosso país e informar as pessoas do que podemos oferecer,we had to make our country known to the world and inform people of what we can offer
"desde o dia em que lançámos a nossa proposta de candidatura até ao dia em que o nome do nosso país foi revelado no envelope em zurique, respeitámos estritamente o regulamento","from the day we launched our candidacy to the day our country's name was revealed on the envelope in zurich, we strictly adhered to the regulation"
não temos nada a temer ou a esconder,we have nothing to fear or to hide
queremos cooperar plenamente com a investigação da fifa ao processo de candidatura,we want to fully cooperate with fifa's investigation of the application process
indicámos à fifa como pretendíamos que o mundial de futebol fosse um catalisador para mudanças positivas na nossa região,We told FIFA how we wanted the World Cup to be a catalyst for positive change in our region
"já tomámos, por exemplo, medidas para modernizar as nossas leis do trabalho","we have already, for example, taken steps to modernize our labor laws"
as nossas acções têm correspondido às nossas palavras,our actions have matched our words
"infelizmente, existem muitas divisões, assim como incompreensões no nosso mundo","unfortunately, there are many divisions as well as misunderstandings in our world"
a paixão partilhada pelo futebol pode eliminar os preconceitos e unir as pessoas em torno do que elas têm em comum,shared passion for football can eliminate prejudice and unite people around what they have in common
actuações individuais maravilhosas,wonderful individual performances
não porque ignorámos estas importantes questões,not because we ignored these important issues
encarámos fortes concorrentes,we faced strong competitors
tanto os estados unidos como o japão e a coreia do sul sediaram recentemente o mundial de futebol,"both the united states, japan and south korea recently hosted the world football"
a austrália tem uma tradição desportiva muito importante,Australia has a very important sporting tradition
o futebol não é o seu desporto número um,football is not your number one sport
a ideia de ter estádios com ar condicionado pode parecer uma ideia fantasiosa,the idea of ​​having air-conditioned stadiums may seem like a fanciful idea
foi somente com o objectivo de alcançar o nível dos nossos rivais mais conhecidos,was only with the aim of reaching the level of our best known rivals
tivemos de dar a conhecer ao mundo o nosso país,we had to make our country known to the world
informar as pessoas do que podemos oferecer,let people know what we can offer
regressam aos seus países com olhos e mentes mais abertos,return to their countries with more open eyes and minds
fãs de todos os cantos do mundo formam novas amizades,fans from all over the world form new friendships
o mundial de futebol tem uma capacidade notável para unir pessoas e culturas,the football world cup has a remarkable ability to unite people and cultures
a história do futebol está cheia de episódios semelhantes ao ocorrido na sérvia,The history of football is full of episodes similar to what happened in Serbia
"em 1937, em espanha, perante o avanço de franco, vários jogadores bascos desertaram dos seus clubes e formaram uma equipa pretensamente representativa do país basco","in 1937, in spain, faced with the advance of francs, several basque players deserted their clubs and formed a team supposedly representative of the basque country"
"em 1958, trinta e dois jogadores de origem argelina abandonaram a frança e os clubes em que jogavam e constituíram a “seleção” da frente de libertação nacional da argélia","in 1958, thirty-two players of algerian origin left france and the clubs they played for and formed the “selection” of the national liberation front of algeria."
"em 1969, numa sequência de jogos entre el salvador e as honduras, a hostilidade entre os dois países resultou numa guerra de quatro dias que vitimou cerca de 6000 pessoas","in 1969, in a sequence of games between el salvador and honduras, hostility between the two countries resulted in a four-day war that killed about 6000 people"
"em 1934, na segunda edição do campeonato do mundo, disputado em itália, mussolini utilizou a seleção transalpina para fazer a apologia do fascismo","in 1934, in the second edition of the world championship, played in italy, mussolini used the transalpine team to make the apology of fascism"
"nesse mesmo ano, em portugal, a final da taça no estádio nacional foi convertida em cenário de contestação ao estado novo por parte da académica de coimbra e seus adeptos","that same year, in portugal, the cup final at the national stadium was converted into a scenario of contestation to the new state by the academician of coimbra and its supporters"
"em 1986, quando a argentina eliminou a inglaterra no mundial do méxico, os dois golos de maradona tiveram o sabor da vingança pela derrota na guerra das malvinas","in 1986, when argentina eliminated england in the mexico world cup, maradona's two goals had the taste of revenge for the defeat in the falklands war"
"em 1990, incidentes no jogo entre o dínamo de zagreb e o estrela vermelha de belgrado, os clubes mais representativos da croácia e da sérvia, constituem simbolicamente o inicio da guerra da independência da croácia","in 1990, incidents in the match between dynamo zagreb and star red belgrade, the most representative clubs in croatia and serbia, symbolically constitute the beginning of the war of independence of croatia"
não está em causa a realização do jogo sérvia/albânia por ser classificado de “alto risco”,the Serbia/Albania match is not in question as it is classified as “high risk”
se assim fosse muitos outros jogos não se realizariam,if that were the case many other games would not take place
não se joga apenas por jogar,don't play just to play
"não são apenas as equipas que estão em causa, mas também as comunidades e nações","it is not just the teams that are at stake, but also the communities and nations"
seria inevitável não haver uma dimensão política a mediar esta forma de relacionamento internacional,it would be inevitable that there would not be a political dimension to mediate this form of international relationship
globalização da competição desportiva,globalization of sports competition
o consequente encontro de equipas que representam estados-nações,the consequent meeting of teams representing nation-states
o futebol sempre foi um jogo aparentemente simples,football has always been a seemingly simple game
jogado com os pés,played with the feet
duas equipas de onze jogadores disputam uma bola,two teams of eleven players dispute a ball
em conformidade com dezassete regras,in compliance with seventeen rules
ganha o jogo quem introduzir mais vezes a bola na baliza adversária,Whoever gets the ball into the opponent's goal wins the game.
os responsáveis pela gestão do futebol sempre proclamaram a modalidade como apolítica,those responsible for the management of football have always proclaimed the sport as apolitical
"baseando-se nessa simplicidade, bem como em valores de ética desportiva e fair-play","based on that simplicity, as well as on values ​​of sporting ethics and fair play"
"logo em 1934, na segunda edição do campeonato do mundo, disputado em itália, mussolini utilizou a seleção transalpina para fazer a apologia do fascismo","in 1934, in the second edition of the world championship, played in italy, mussolini used the transalpine team to make the apology of fascism"
"em 1937, em espanha, perante o avanço de franco, vários jogadores bascos desertaram dos seus clubes e formaram uma equipa pretensamente representativa do país basco, com o objetivo de disputarem vários jogos internacionais e assim recolherem fundos e chamarem a atenção para a sua causa","in 1937, in spain, faced with the advance of francs, several basque players defected from their clubs and formed a team supposedly representative of the basque country, with the aim of playing several international games and thus collecting funds and drawing attention to their cause"
cientes desta “intimidade”,aware of this “intimacy”
"a uefa, já nesta época de 2014/15 determinou que não se realizassem jogos das competições europeias em território israelita","uefa, already in this 2014/15 season, determined that matches in european competitions should not be held in israeli territory"
condicionou o sorteio para que clubes ucranianos e russos não se encontrassem,conditioned the draw so that Ukrainian and Russian clubs would not meet
em face de vários cenários de tensão política e militar,in the face of various scenarios of political and military tension
"também para a qualificação do euro 2016 o sorteio foi condicionado para que arménia e azerbeijão, bem como espanha e gibraltar, não jogassem entre si",also for euro 2016 qualifying the draw was conditioned so that armenia and azerbaijan as well as spain and gibraltar do not play each other
a rivalidade e a tensão que lhes estão associadas também os classificam como tal,the rivalry and tension associated with them also classify them as such.
o que está em causa é a afirmação recorrente de que futebol e política não têm qualquer ligação,what is at stake is the recurrent assertion that football and politics have no connection
a realidade revela o contrário,reality reveals otherwise
retirar a expressão política do futebol é retirar-lhe uma das componentes que lhe dão sentido,to remove the political expression from football is to remove one of the components that give it meaning
"nos primórdios do movimento olímpico, o barão de coubertain entendeu que o desporto tinha uma importante função política, nomeadamente ao nível diplomático de promoção da paz internacional","at the beginning of the olympic movement, baron de coubertain understood that sport had an important political function, namely at the diplomatic level of promoting international peace"
a globalização da competição desportiva,the globalization of sports competition
"dificilmente se supunha que a interação ocorresse em sentido contrário, ou seja, que fosse a política a condicionar negativamente o desporto","it was hardly assumed that the interaction would occur in the opposite direction, that is, that politics would negatively condition sport"
joga-se em representação de alguém,play in representation of someone
"contra adversários construídos e reconstruídos em contextos sociais específicos, reproduzindo-se identidades e políticas","against adversaries constructed and reconstructed in specific social contexts, reproducing identities and policies"
"no futebol, os jogadores, clubes e equipas nacionais são representações de comunidades, regiões e países","in football, players, clubs and national teams are representations of communities, regions and countries"
"nesses momentos não são apenas as equipas que estão em causa, mas também as comunidades e nações","at such moments it is not just the teams that are at stake, but also the communities and nations"
"evidente a partir do momento em que se coloca um emblema ao peito, se envergam determinadas cores e se canta um hino","evident from the moment an emblem is placed on the chest, certain colors are worn and a hymn is sung"
"o futebol é efetivamente um jogo simples, complexificado pelas múltiplas expressões sociais que lhe dão consistência","football is effectively a simple game, complexified by the multiple social expressions that give it consistency"
"afirmar que nada tem a ver com política, é o mesmo que afirmar que o futebol nada tem a ver com economia ou cultura, retirando-lhe assim a essência","saying that it has nothing to do with politics is the same as saying that football has nothing to do with the economy or culture, thus depriving it of its essence."
"referindo-se aos incidentes, o presidente da uefa, michel platini, afirmou estar muito triste com o sucedido","referring to the incidents, uefa president michel platini said he was very saddened by what had happened"
“o jogo não deve ser confundido com política”,“gaming should not be confused with politics”
"cientes desta “intimidade”, a uefa, já nesta época de 2014/15 determinou que não se realizassem jogos das competições europeias em território israelita e condicionou o sorteio para que clubes ucranianos e russos não se encontrassem","aware of this “intimacy”, uefa, already in this 2014/15 season, determined that matches in European competitions should not be played on Israeli territory and made the draw conditional on Ukrainian and Russian clubs not meeting"
vários cenários de tensão política e militar,various scenarios of political and military tension
"o paradoxo no discurso dos responsáveis máximos do futebol é a insistência na ausência da expressão política do jogo, como se este fosse um universo à parte imune à realidade circundante","the paradox in the discourse of football's top officials is the insistence on the absence of political expression in the game, as if it were a separate universe immune to the surrounding reality"
todas as evidências,all evidence
que fosse a política a condicionar negativamente o desporto,that it was politics that negatively affected sport
"esperando-se que o desporto condicionasse positivamente a política, dificilmente se supunha que a interação ocorresse em sentido contrário","if sport was expected to positively condition politics, it was hardly assumed that the interaction would occur in the opposite direction."
"não se joga apenas por jogar, joga-se em representação de alguém, contra adversários construídos e reconstruídos em contextos sociais específicos, reproduzindo-se identidades e políticas","one does not play just for the sake of playing, one plays in representation of someone, against opponents constructed and reconstructed in specific social contexts, reproducing identities and policies"
nesses momentos não são apenas as equipas que estão em causa,at such moments it is not just the teams that are concerned
também as comunidades e nações,as well as communities and nations
"no futebol, os jogadores, clubes e equipas nacionais são representações de comunidades, regiões e países, tornando-se isso evidente a partir do momento em que se coloca um emblema ao peito, se envergam determinadas cores e se canta um hino","in football, players, clubs and national teams are representations of communities, regions and countries, which becomes evident from the moment an emblem is placed on the chest, certain colors are worn and an anthem is sung."
retirando-lhe assim a essência,thus removing the essence
"afirmar que nada tem a ver com política, é o mesmo que afirmar que o futebol nada tem a ver com economia ou cultura",saying that it has nothing to do with politics is the same as saying that football has nothing to do with the economy or culture.
não admira,no wonder
"o que está em jogo é a permissão de acesso por parte de uns relativos estranhos, até há poucos anos, às cada vez maiores receitas do futebol internacional","what is at stake is the permission of relative strangers, until a few years ago, to the ever-increasing revenues of international football."
surpreende de alguma forma este corte radical,surprises somehow this radical cut
"existiam expectativas entre os diversos intervenientes, incluindo federações nacionais de ligas de topo, como a espanhola, de que o caminho fosse o da regulação da intervenção dos investidores terceiros","there were expectations among the various stakeholders, including national federations of top leagues, such as Spain, that the path would be to regulate the intervention of third-party investors"
este tipo de investimentos prejudicam os clubes no longo prazo,this type of investment harms clubs in the long run
colocá-los num ciclo de dívida e dependência crescentes,put them in a cycle of increasing debt and dependency
retirando-lhes poder efectivo de gestão dos jogadores,depriving them of effective power to manage the players
influenciando as suas políticas de transferências,influencing your transfer policies
não seriam bons para o futebol,wouldn't be good for football
colocariam riscos significativos quanto à integridade das competições,would pose significant risks to the integrity of competitions
falta de transparência quanto à identidade dos investidores,lack of transparency regarding the identity of investors
"possibilidade de estes exercerem influência injustificada sobre jogadores, treinadores ou dirigentes de clubes, ou de mecanismos ilegais de viciação de resultados","possibility of them exercising unjustified influence over players, coaches or club officials, or of illegal match-fixing mechanisms"
a tpo assegura o acesso dos clubes a meios extraordinários de financiamento,tpo ensures clubs have access to extraordinary funding
lhes permitem competir a um nível mais elevado do que aquele que lhes seria possível recorrendo apenas a receitas ordinárias e endividamento bancário,enable them to compete at a higher level than they would be able to rely on ordinary income and bank debt alone
maior competitividade das provas e alternância entre os clubes vencedores,greater competition in competitions and alternation between the winning clubs
ao colocá-los num ciclo de dívida e dependência crescentes,putting them in a cycle of increasing debt and dependency
"retirando-lhes poder efectivo de gestão dos jogadores, seu activo principal","depriving them of effective power to manage the players, their main asset"
prejudicam os jogadores,harm players
passam a deixar de ser donos da sua carreira transformando-se em meros activos transaccionáveis,"are no longer the owners of their careers, becoming mere tradable assets"
sujeitos a períodos de mobilidade muito curtos,subject to very short mobility periods
"muitas transferências, necessárias para gerar rendimentos aos investidores","many transfers, necessary to generate income for investors"
riscos significativos quanto à integridade das competições,significant risks to the integrity of competitions
"possibilidade de estes exercerem influência injustificada sobre jogadores, treinadores ou dirigentes de clubes","possibility of them exercising unjustified influence over players, coaches or club officials"
mecanismos ilegais de viciação de resultados,illegal match-fixing mechanisms
"a fifa hesitou muitos anos, entre proibição e regulação da actividade","fifa hesitated for many years, between banning and regulating the activity"
acabou por optar no final de 2014 pela proibição completa,ended up opting at the end of 2014 for the complete ban
"nada contém, a priori, de ilícito","does not contain, a priori, of illicit"
com base em meros riscos ou perigos,based on mere risks or dangers
actividade que não é do foro desportivo,non-sporting activity
"porventura, excessivo este corte radical",perhaps this radical cut is excessive
igualmente prejudicam os jogadores,also harm the players
"sujeitos a períodos de mobilidade muito curtos por força das muitas transferências, necessárias para gerar rendimentos aos investidores",subject to very short mobility periods due to the many transfers necessary to generate income for investors
"o norte-americano jim thorpe, em 1912 (quintos jogos olímpicos), perdeu a sua medalha de ouro, de vencedor do decatlo","American jim thorpe, in 1912 (fifth olympic games), lost his gold medal, winner of the decathlon"
tinha ganho alguns cobres na sua terra natal (os eua) a jogar basebol,he had won some coppers in his homeland (the usa) playing baseball
"paavo nurmi foi impedido de participar na maratona em 1932, em los angeles",paavo nurmi was barred from participating in the marathon in 1932 in los angeles
ter recebido algum dinheiro da sua participação em corridas da maratona (na alemanha e nos estados unidos) após a sua vitória em 1928,having received some money from his participation in marathon races (in Germany and the United States) after his victory in 1928
"havia então o culto e o respeito, mesmo excessivo, pelo amadorismo","then there was the cult and respect, even excessive, for amateurism"
"o desporto (comprovadamente promotor da saúde), como conceito e ideal de vida e não como meio de vida (o que legitimamente os profissionais fazem, até porque não podemos esquecer muitos dos fantásticos artistas de circo…), sofreu uma profunda transformação","sport (provenly promoting health), as a concept and ideal of life and not as a way of life (which professionals legitimately do, not least because we cannot forget many of the fantastic circus performers…), has undergone a profound transformation."
os clássicos jogos olímpicos transformaram-se num espectáculo progressivamente mais mediático e lucrativo,the classic olympic games have become a progressively more popular and profitable spectacle
os atletas possam ter apoios desse tipo,athletes can have this kind of support
apenas na medida em que isso se relaciona com a sua preparação para participar nos jogos,only insofar as it relates to your preparation to participate in the games
destruição dos ideais sagrados,destruction of sacred ideals
florescimento da corrupção,flowering of corruption
infiltração de profissionais entre os competidores,infiltration of professionals among competitors
destruindo o ideal de honra e glória que dera aos jogos a sua mística,destroying the ideal of honor and glory that had given games their mystique
trazendo consigo a febre do lucro,bringing with it the fever of profit
