pt,en
pretendíamos,we intended
catalisador,catalyst
mudanças,changes
positivas,positive
tomámos,we took
medidas,measurements
modernizar,modernize
trabalho,job
acções,actions
correspondido,matched
palavras,words
infelizmente,unfortunately
divisões,divisions
assim,so
incompreensões,misunderstandings
partilhada,shared
eliminar,to eliminate
preconceitos,prejudices
unir,join
torno,lathe
comum,ordinary
encarámos,we faced
fortes,strong
concorrentes,competitors
coreia,Korea
sediaram,hosted
recentemente,recently
muito,very
importante,important
número,number
regressam,return
olhos,eyes
mentes,minds
abertos,open
cantos,corners
formam,form
novas,new
amizades,friendships
capacidade,capacity
notável,remarkable
culturas,cultures
cheia,full
episódios,episodes
semelhantes,similar
ocorrido,happened
avanço,advance
jogadores,players
bascos,basques
desertaram,defected
formaram,formed
pretensamente,allegedly
representativa,representative
basco,Basque
origem,source
argelina,algerian
abandonaram,abandoned
jogavam,played
constituíram,constituted
seleção,selection
frente,front
libertação,release
sequência,sequence
honduras,Honduras
hostilidade,hostility
resultou,resulted
vitimou,victimized
cerca,fence
edição,edition
disputado,disputed
utilizou,used
transalpina,transalpine
fazer,do
apologia,apology
fascismo,fascism
mesmo,same
ano,year
taça,cup
convertida,converted
cenário,scenery
contestação,contestation
novo,new
académica,academic
adeptos,supporters
eliminou,eliminated
inglaterra,England
méxico,Mexico
golos,goals
maradona,maradona
tiveram,had
sabor,flavor
vingança,revenge
derrota,defeat
malvinas,malvinas
incidentes,incidents
dínamo,dynamo
zagreb,zagreb
estrela,star
vermelha,red
representativos,representative
constituem,constitute
simbolicamente,symbolically
inicio,start
independência,independence
causa,cause
realização,achievement
sérvia,Serbia
albânia,Albania
classificado,classified
alto,high
risco,risk
realizariam,would perform
joga,play
jogar,to play
comunidades,communities
nações,nations
inevitável,inevitable
dimensão,dimension
política,policy
mediar,mediate
relacionamento,relationship
globalização,globalization
consequente,consequent
encontro,date
representam,represent
estados-nações,nation-states
aparentemente,Apparently
simples,simple
jogado,played
pés,foot
disputam,dispute
bola,ball
conformidade,conformity
ganha,win
introduzir,introduce
baliza,goal
adversária,adversary
responsáveis,responsible
gestão,management
proclamaram,proclaimed
modalidade,modality
apolítica,the politics
baseando-se,relying
simplicidade,simplicity
valores,values
ética,ethic
logo,soon
objetivo,goal
disputarem,vie
internacionais,international
recolherem,collect
chamarem,call
atenção,attention
cientes,aware
intimidade,intimacy
época,era
determinou,determined
realizassem,perform
europeias,european
território,territory
israelita,Israeli
condicionou,conditioned
sorteio,prize draw
ucranianos,ukrainians
russos,russians
encontrassem,find
face,face
cenários,scenarios
tensão,voltage
militar,military
qualificação,qualification
euro,euro
arménia,Armenia
azerbeijão,azerbaijan
gibraltar,Gibraltar
jogassem,play
rivalidade,rivalry
associadas,associated
classificam,classify
tal,such
afirmação,affirmation
recorrente,recurrent
ligação,Link
realidade,reality
revela,reveals
contrário,contrary
retirar,withdraw
expressão,expression
retirar-lhe,take it away
componentes,components
dão,give
primórdios,beginnings
movimento,movement
olímpico,Olympic
barão,baron
coubertain,coubertain
entendeu,he understood
tinha,he had
função,occupation
nomeadamente,in particular
diplomático,diplomatic
promoção,promotion
paz,peace
dificilmente,difficultly
supunha,supposed
interação,interaction
ocorresse,to occur
seja,be
fosse,were
condicionar,condition
negativamente,negatively
joga-se,play
representação,representation
adversários,opponents
construídos,built
reconstruídos,rebuilt
contextos,contexts
sociais,social
específicos,specific
reproduzindo-se,reproducing
identidades,identities
representações,representations
regiões,regions
momentos,moments
evidente,evident
partir,leave
momento,time
coloca,put
emblema,emblem
peito,chest
envergam,wear
determinadas,certain
cores,Colors
canta,sings
hino,hymn
efetivamente,effectively
complexificado,complexified
múltiplas,multiple
expressões,expressions
consistência,consistency
afirmar,claim
ver,to see
economia,economy
cultura,culture
retirando-lhe,taking it away
essência,essence
referindo-se,referring
presidente,president
afirmou,stated
triste,sad
sucedido,successful
deve,he must
confundido,confused
paradoxo,paradox
máximos,maximums
insistência,insistence
ausência,absence
universo,universe
imune,immune
circundante,surrounding
evidências,evidence
esperando-se,waiting up
condicionasse,condition
positivamente,positively
tornando-se,becoming
admira,admire
permissão,permission
acesso,access
relativos,relatives
estranhos,strangers
até,until
vez,turn
maiores,bigger
receitas,revenue
surpreende,surprise
corte,cut
radical,radical
existiam,existed
expectativas,expectations
diversos,several
intervenientes,stakeholders
incluindo,including
federações,federations
ligas,leagues
topo,top
espanhola,Spanish
caminho,path
regulação,regulation
intervenção,intervention
investidores,investors
terceiros,the 3rd
tipo,type
investimentos,investments
prejudicam,harm
prazo,term
colocá-los,put them
ciclo,cycle
dívida,debt
dependência,dependency
crescentes,crescents
retirando-lhes,removing them
poder,power
efectivo,effective
influenciando,influencing
transferências,transfers
bons,Good
colocariam,would put
riscos,scratchs
quanto,how much
integridade,integrity
transparência,transparency
identidade,identity
possibilidade,possibility
exercerem,exercise
influência,influence
injustificada,unjustified
mecanismos,mechanisms
ilegais,illegal
viciação,addiction
assegura,ensures
meios,means
extraordinários,extraordinary
financiamento,financing
permitem,allow
competir,to compete
elevado,high
possível,possible
recorrendo,using
ordinárias,common
endividamento,indebtedness
bancário,Bank officer
maior,bigger
alternância,alternation
vencedores,winners
activo,active
passam,pass
donos,owners
carreira,career
transformando-se,transforming
meros,mere
activos,assets
transaccionáveis,tradable
sujeitos,subjects
períodos,periods
mobilidade,mobility
curtos,short
necessárias,needed
gerar,generate
rendimentos,income
hesitou,hesitated
proibição,prohibition
actividade,activity
acabou,ended
optar,choose
completa,complete
contém,contains
priori,a priori
ilícito,illicit
perigos,dangers
foro,forum
desportivo,sporty
porventura,perhaps
excessivo,excessive
força,force
norte-americano,North American
olímpicos,olympics
perdeu,it lost
medalha,medal
ouro,gold
vencedor,winner
decatlo,decathlon
cobres,coppers
terra,Earth
natal,Christmas
basebol,baseball
paavo,peacock
nurmi,nummi
impedido,impeded
participar,participate
maratona,marathon
recebido,Received
participação,participation
corridas,races
então,then
culto,cult
respeito,respect
amadorismo,amateurism
comprovadamente,demonstrably
promotor,district Attorney
saúde,health
conceito,concept
ideal,ideal
vida,life
meio,quite
legitimamente,legitimately
profissionais,professionals
esquecer,to forget
fantásticos,fantastic
artistas,artists
circo,circus
sofreu,suffered
profunda,deep
transformação,transformation
clássicos,classics
transformaram-se,turned
espectáculo,show
progressivamente,progressively
mediático,media
lucrativo,lucrative
atletas,athletes
possam,can
apoios,supports
medida,measure
relaciona,relates
preparação,preparation
destruição,undoing
ideais,ideals
sagrados,sacred
florescimento,blossoming
corrupção,corruption
infiltração,infiltration
competidores,competitors
destruindo,destroying
honra,honor
glória,glory
dera,dea
mística,mystique
trazendo,bringing
febre,fever
lucro,profit
acabaram,finished
desaparecer,to vanish
pierre,pierre
coubertin,coubertin
espírito,spirit
fundamentalmente,fundamentally
filosofia,philosophy
promovendo,promoting
associando,associating
globalmente,globally
qualidades,qualities
corpo,body
procurando,searching
ciar,create
estilo,style
baseado,based
prazer,pleasure
conseguido,achieved
esforço,effort
valor,value
educacional,educational
exemplos,examples
princípios,Principles
éticos,ethical
fundamentais,fundamental
universais,universals
espirito,spirit
fraternidade,fraternity
manifestava,manifested
chamada,call
trégua,truce
olímpica,olympic
fazendo,doing
cessar,cease
temporariamente,temporarily
combates,fighting
cidade,City
unida,united
correias,straps
norte,north
tarde,afternoon
alemanhas,germany
leste,east
ocidente,Western
elitista,elitist
primeiros,first
homens,men
participaram,participated
modalidades,modalities
recursos,resources
dar-se,give up
luxo,Lux
concorrer,compete
antiguidade,antique
duraram,lasted
agora,now
passa,he passes
depressa,quickly
anteriormente,previously
seoul,seoul
óbvios,obvious
sergei,sergei
basquetebol,Basketball
ténis,tennis
fizeram,made
decisão,decision
imprensa,press
indica,indicates
ir,go
reforçar,reinforce
relações,relations
garantir,to guarantee
melhores,best
desportistas,sportsmen
pensar,think
pior,worst
considerar,consider
deverão,shall
existir,exist
poderão,may
ficar,stay
incluídas,included
futuros,futures
pretende,intends
aumentar,increase
vencer,win
essencial,essential
lutado,fought
dado,given away
financeiro,financial
olimpismo,olympism
colocar,to place
lugares,places
serviço,service
humanidade,humanity
encorajar,to encourage
estabelecimento,establishment
sociedade,society
pacífica,peaceful
preocupada,concerned
preservação,preservation
dignidade,dignity
evitar,avoid
descriminações,descriptions
financeira,financial
coração,heart
começa,begins
bater,to knock
generoso,generous
brasileiro,Brazilian
teima,stubborn
acelerar,speed up
disputar,dispute
fervor,fervor
fairplay,fairplay
magnífico,magnificent
espetáculo,Show
esporte,sport
abraçar,to hug
gente,people
partes,parts
acolheu,welcomed
povos,peoples
histórico,historic
tolerância,tolerance
símbolo,symbol
convivência,coexistence
hospitalidade,hospitality
alegria,happiness
povo,people
trabalhadores,workers
empresários,businessmen
estudantes,students
cientistas,scientists
conseguiu,it achieved
erguer,lift
abertas,open
criativa,creative
amabilidade,kindness
solidariedade,solidarity
centros,centers
esportivos,sports
diversas,various
disseminando,spreading
jovens,young
inspira,inspire
cooperação,cooperation
árduo,hard
objetivos,goals
celebrar,to celebrate
conquistas,conquests
felicidade,happiness
autoestima,self esteem
acolhedor,cozy
hospitaleiro,hospitable
legado,legacy
olimpíada,olympics
futuro,future
abrigar,shelter
novos,new
prédios,buildings
escritórios,offices
residências,residences
recuperando,recovering
brilho,shine
maravilhosa,Wonderful
encantou,enchanted
hospedará,will host
construída,built
iniciativa,initiative
privada,toilet
começou,it started
comercializar,commercialize
apartamentos,apartments
rio,river
terão,will have
altos,high
níveis,levels
investimento,investment
privado,private
edições,edits
evento,event
últimos,last
zelando,watching over
eficiência,efficiency
gasto,spent
sustentabilidade,sustainability
instalações,installations
módulos,modules
arena,arena
desmontada,dismantled
transformada,transformed
escolas,schools
obras,construction
estrutura,structure
começaram,started
testadas,tested
espalham,spread
início,start
esportivas,sports
complexidade,complexity
constante,constant
mínimos,minimums
detalhes,Details
trarão,will bring
duradouros,lasting
ultrapassar,to surpass
limites,Limits
temporais,storms
aceito,accepted
números,numbers
disponho,I have
pré-graduada,undergraduate
conheça,meet
estudo,study
consistente,consistent
demonstre,demonstrate
diferença,difference
áreas,areas
emigração,emigration
licenciados,graduates
engenharia,engineering
arquitectura,architecture
enfermagem,nursing
vejo,watch
semelhante,similar
casos,cases
ricos,rich
sair,go out
ficando,staying
desmotivados,unmotivated
estado-patrão,boss state
proletarizar,proletarianize
impondo,imposing
salários,salary
baixos,lows
indefesos,helpless
obrigados,forced
aceitar,to accept
remuneração,remuneration
tivessem,had
custo,cost
formar,to form
conseguinte,therefore
subtrair,subtract
contas,accounts
mal,bad
contadas,counted
partindo,leaving
estimado,estimated
vi,saw
exactas,exact
catástrofe,catastrophe
albufeira,dam
prevista,Preview
local,local
opôs-se,opposed
polis,polis
câmara,chamber
impôs,imposed
especialistas,experts
falaram,they said
chuvas,rains
ocorrem,occur
encanada,piped
escoa,drain
grande,big
rompem,break up
pacto,covenant
infligir,inflict
catástrofes,catastrophes
previsíveis,predictable
infringir,infringe
direitos,rights
negar,to deny
pagar,pay
obrigações,obligations
pagamos,we pay
governos,governments
usarem,use
alerta,alert
alertou,warned
fogos,fires
shoppings,malls
amplos,wide
corredores,runners
aprovados,approved
bombeiros,firemen
usados,used
stands,stands
fins-de-semana,weekends
podem,they can
travar,hang
lacuna,gap
asae,wing
autua,sues
democracia,democracy
cai,falls
céu,sky
conquistada,conquered
migrações,migrations
noção,notion
existe,exist
diáspora,diaspora
espalhada,scattered
décadas,decades
acolhemos,we welcome
seio,breast
numerosos,numerous
imigrantes,immigrants
escolheram,chose
viver,to live
solidária,solidary
remessas,remittances
permitiram,allowed
superar,overcome
crises,crises
económicas,economic
anteriores,previous
emigrantes,emigrants
retiraram,withdrew
interior,interior
idade,age
média,average
vivia,lived
meados,mid
ideias,ideas
trazidas,brought
ajudaram,helped
consolidar,consolidate
depósitos,deposits
bancários,banking
capitalizaram,capitalized
banca,banking
imigração,immigration
indispensável,indispensable
pararia,would stop
acordassem,wake up
cedo,early
autóctones,autochthonous
deitassem,lie down
medo,fear
piores,worst
empregos,jobs
hospitais,hospitals
empresas,companies
universidades,universities
ficariam,would stay
pobres,poor
colegas,colleagues
estrangeiros,foreign
será,it will be
casa,home
refugiados,refugees
acolheremos,we will welcome
breve,soon
insensatos,fools
felizmente,happily
escassos,scarce
discursos,speeches
xenófobos,xenophobic
racistas,racists
escutam,listen
põem,put
humanista,humanist
passado,past
português,Portuguese
linha,line
luta,fight
injustiça,injustice
esperança,hope
retaguarda,rear
organizações,organizations
ongs,ngos
cuidar,take care
continuamos,we continue
humanos,humans
ministério,Ministry
negócios,Business
oportunidade,opportunity
perdida,lost
burocrático-administrativo,bureaucratic-administrative
deixa,he leaves
imenso,immense
desejar,Wish
rede,network
consular,consular
serviços,services
disponíveis,available
cumprem,comply
exigível,chargeable
tão,So
raros,rare
portugueses,portuguese
contam,count
negativa,negative
envolva,involve
consulado,consulate
área,area
adidos,attachés
especializados,specialized
oficiais,officers
portuguesas,portuguese
potencial,potential
está,it is
explorar,to explore
governo,government
resumi-la,summarize it
palavra,word
disfuncional,dysfunctional
desajustamento,maladjustment
mai,May
factos,facts
debate,debate
voto,vote
legislativas,legislative
demonstrou,demonstrated
exige-se,it is required
governação,governance
integrada,integrated
dispersão,dispersal
responsabilidades,responsibilities
ministérios,ministries
responder,reply
desafios,challenges
pouparmos,we save
assessores,advisors
adjuntos,adjuncts
sobejam,abound
secretarias,secretaries
criar,create
adicionais,additional
vantagens,benefits
reais,real
calouste,calouste
gulbenkian,gulbenkian
produz,produces
relatórios,reports
estatísticos,statisticians
participa,participate
redes,networks
representa,represents
estruturas,structures
diálogo,dialogue
cumpre,complies
extrapola,extrapolates
funções,functions
controlo,control
consiga,get
estratégia,strategy
agregar,add
disperso,scattered
acredito,I believe
expatriados,expatriates
comigo,with me
anseio,Wish
centenas,hundreds
milhar,thousand
vivem,live
permitiria,would allow
opção,option
cabo,cable
verde,green
sucesso,success
observável,observable
passou,passed on
tempo,time
boa,Good
solução,solution
apreciar,appreciate
simplesmente,simply
imobiliária,real estate
entidade,entity
acautelar,caution
responsabilidade,responsibility
simultaneamente,simultaneously
membro,member
conselho,advice
curadores,curators
iscte-iul,iscte-iul
denominação,name
instituto,Institute
universitário,university
constituiu,constituted
aposta,bet
clara,clear
especialização,Specialization
lugar,place
diversificação,diversification
reforço,reinforcement
científica,scientific
peso,Weight
formações,formations
segundo,second
terceiro,third
ciclos,cycles
internacionalização,internationalization
atividades,activities
docente,teacher
finalmente,finally
intensificação,intensification
ligações,Connections
abertura,opening
hotéis,hotels
cozinhas,Kitchens
dizia,said
especializado,skilled
posição,position
liderança,leadership
fundadoras,founders
sociologia,sociology
alargadas,enlarged
inclusão,inclusion
respetivamente,respectively
subáreas,subareas
públicas,public
completam,complete
domínios,Domains
atividade,activity
iscte,iscte
ciências,Science
tecnologias,technologies
arquitetura,architecture
reconhecia-se,it was recognized
entanto,however
necessidade,necessity
desenvolver,to develop
projetos,projects
salientavam,stressed
hotelaria,hospitality
turismo,tourism
contribuir,contribute
significativamente,significantly
estonteante,dizzying
crescimento,growth
principais,main
vital,vital
contratos,contracts
televisivos,television
passaram,They passed
negociação,negotiation
centralizada,centralized
negocial,negotiation
junto,together
operadores,operators
tv,TV
repartição,apportionment
equilibrada,balanced
envolvidos,involved
respectivas,respective
acontecimentos,events
desenrolaram-se,unfolded
moldes,molds
tardar,delay
sofram,suffer
repercussões,repercussions
nefastas,nefarious
corrida,race
afectado,affected
atractiva,attractive
incerteza,uncertainty
resultado,result
qualidade,quality
factores,factors
valorizam,value
reforçam,reinforce
mediática,media
liga,turns on
autoridades,authorities
indiferentes,indifferent
individualizada,individualized
protagonizaram,starred
evidencia,evidence
pretensão,pretense
aumentarem,increase
quota,share
mercado,market
potenciando,potentiating
via,via
supremacia,supremacy
detêm,hold
plano,plan
acentuando,accentuating
assimetria,asymmetry
restantes,remaining
absolutamente,absolutely
legítima,legitimate
natureza,nature
conseguirem,get
operadoras,operators
directos,direct
estratégicas,strategic
indubitavelmente,undoubtedly
questão,question
estratégica,strategic
qualitativo,qualitative
clube,club
individualista,individualistic
procura,search
benefício,benefit
próprio,own
imediato,immediate
indirectamente,indirectly
acaba,ends
beneficiar,to benefit
defende,defends
propriamente,properly
entendimento,understanding
afigura,The figure
bom,well
negócio,business
provavelmente,probably
ser,to be
sobretudo,about everything
recebeu,has received
euros,euros
pptv,pptv
contrato,contract
celebrado,celebrated
aquém,to whom
praticado,practiced
renovado,renewed
televisivo,televised
senso,sense
recomendaria,would recommend
questionassem,question
sócios,partners
accionistas,shareholders
duração,duration
trata-se,it's about
incide,focuses
fonte,source
receita,recipe
vir,come over
sérias,serious
futuras,future
corporativas,corporate
subalternizar,subordinate
interesses,interests
legítimos,legitimate
viabilidade,viability
longo-prazo,long term
depende,It depends
estabelecidas,established
fora,outside
campo,field
considerados,considered
produção-conjunta,joint production
indivisível,indivisible
longuíssima,very long
direcções,directions
seguintes,following
relevância,relevance
réditos,revenue
finanças,finance
particularmente,particularly
bilheteira,ticket office
estagnou,stagnated
evolução,evolution
desaconselhou,advised against
publicitários,advertisers
equilíbrio,balance
directamente,directly
relacionado,related
interdependência,interdependence
estabelecem,establish
comunicados,announcements
omissos,omitted
escalonamento,escalation
progressividade,progressiveness
variável,variable
crucial,crucial
avaliar,to assess
decisões,decisions
gestores,managers
indiferente,indifferent
receber,to receive
recebê-los,receive them
complemento,complement
nominal,nominal
celebraram,celebrated
referidas,referred
sad,sad
revelassem,reveal
respectivo,respective
actual,current
analisar,to analyze
década,decade
deverá,shall
inferior,bottom
vive,live
especialmente,especially
entusiasmante,exciting
diz,it says
surf,surf
praticantes,practitioners
reconhecimento,recognition
própria,own
espaço,space
praias,beaches
apresentam,present
desempenho,performance
participam,participate
campeã,champion
bodyboard,bodyboard
vice-campeão,runner-up
2.º,2nd
feito,done
estágios,stages
aquisição,acquisition
equipamento,equipment
audiovisual,audio-visual
informático,computer
praticamente,virtually
inexistente,nonexistent
quase,almost
total,total
ondas,waves
materializa-se,materializes
limita,limits
financeiros,financial
circuito,circuit
esperanças,hopes
desempenha,plays
papel,paper
decisivo,decisive
por,per
incluem,include
promovem,promote
contributo,contribution
mútuo,mutual
talentos,talents
perspectiva,perspective
consegue,it achieves
presente,gift
terço,third
gostaria,would
orçamento,budget
disponível,available
alcançado,Reached
retorno,return
promissor,promising
devemos,we must
continuar,Continue
investir,invest
promover,promote
potência,potency
europeia,european
excelentes,excellent
desportivos,sports
efectivamente,actually
trazido,brought
positivo,positive
feita,done
surfing,surfing
partilha,sharing
pessoais,personal
promissores,promising
periclitante,shaky
longe,far away
capital,capital
termos,terms
pontuais,punctual
exibicional,exhibitional
arredado,withdrawn
título,title
acto,act
razoável,reasonable
for,for
premência,urgency
próxima,next
temporada,season
admitindo,admitting
lopetegui,lopetegui
mudança,change
paradigma,paradigm
perspectivava,envisaged
veracidade,veracity
enquadramento,framework
inviável,impracticable
despedimento,dismissal
peseiro,peseiro
fim,The end
meses,months
independentemente,regardless
ideologia,ideology
revolucionária,revolutionary
manietou,handcuffed
última,last
obsessão,obsession
posse,possession
circulação,circulation
largura,width
passe,pass
dragão,Dragon
chama,flame
perspectivada,perspective
objectividade,objectivity
excessiva,excessive
lateralização,lateralization
deficiente,deficient
criatividade,creativity
último,last
tornavam,became
curta,short
indiscutível,indisputable
razoabilidade,reasonableness
críticas,criticism
espanhol,Spanish
reitero,I reiterate
prolongamento,extension
obter,get
maioria,majority
origina,originates
decréscimo,decrease
rendimento,Yield
chicotadas,lashes
psicológicas,psychological
efémero,ephemeral
confiança,confidence
advém,comes
novidade,news
desejo,desire
efeito,It is made
útil,useful
curto,I enjoy
rapidamente,quickly
esbate,blur
empenho,effort
estabiliza,stabilizes
